cluster_id,cluster_name,keyword,volume,kd,intent,serp_overlap_score
c1,1win,1win,122000,9,navigational_commercial_heuristic,10
c2,1win casino,1win casino,16000,0,commercial_heuristic,10
c2,1win casino,1win casino online,1100,44,commercial_heuristic,5
c2,1win casino,casino 1win,1100,65,commercial_heuristic,10
c2,1win casino,1win casino app,700,50,commercial_heuristic,5
c2,1win casino,1win casino argentina,700,60,commercial_heuristic,5
c2,1win casino,1win casino online argentina,300,,commercial_heuristic,3
c2,1win casino,1win app casino,200,,commercial_heuristic,5
c2,1win casino,casino 1win argentina,200,,commercial_heuristic,5
c2,1win casino,casino online 1win,200,,commercial_heuristic,5
c2,1win casino,bonus casino 1win,150,56,commercial_heuristic,5
c2,1win casino,1win online casino,100,,commercial_heuristic,5
c2,1win casino,1win casino login,80,,commercial_heuristic,5
c2,1win casino,1win casino gratis,60,,commercial_heuristic,5
c2,1win casino,1win argentina casino,50,,commercial_heuristic,5
c2,1win casino,1win bonus casino,40,,commercial_heuristic,5
c2,1win casino,1win casino aviator,40,,commercial_heuristic,5
c2,1win casino,1win casino chile,40,,commercial_heuristic,5
c2,1win casino,casino en 1win,40,,commercial_heuristic,5
c2,1win casino,1win casino colombia,30,,commercial_heuristic,5
c2,1win casino,1win casino download,30,,commercial_heuristic,5
c2,1win casino,1win chile casino,30,,commercial_heuristic,5
c2,1win casino,casino 1win chile,30,,commercial_heuristic,5
c2,1win casino,chicken cross casino 1win,30,,commercial_heuristic,3
c2,1win casino,1win crypto casino,20,,commercial_heuristic,5
c3,1win argentina,1win argentina,5400,33,informational_heuristic,10
c3,1win argentina,balloon 1win argentina,200,,informational_heuristic,5
c3,1win argentina,1win app argentina,150,,transactional_heuristic,5
c3,1win argentina,1win argentina descargar,150,,informational_heuristic,5
c3,1win argentina,descargar 1win argentina,150,,informational_heuristic,5
c3,1win argentina,código promocional 1win argentina,80,,informational_heuristic,3
c3,1win argentina,1win argentina es confiable,70,,informational_heuristic,3
c3,1win argentina,1win balloon argentina,60,,informational_heuristic,5
c3,1win argentina,1win login argentina,60,,informational_heuristic,5
c3,1win argentina,1win app argentina descargar,50,,transactional_heuristic,3
c3,1win argentina,1win argentina pagina oficial,50,,informational_heuristic,3
c3,1win argentina,1win es legal en argentina,50,,informational_heuristic,3
c3,1win argentina,1win mines argentina,50,,informational_heuristic,5
c3,1win argentina,1win apk argentina,40,,informational_heuristic,5
c3,1win argentina,1win argentina apk,40,,informational_heuristic,5
c3,1win argentina,1win aviator argentina,40,,informational_heuristic,5
c3,1win argentina,aviator juego 1win argentina,40,,informational_heuristic,3
c3,1win argentina,1win argentina oficial,30,,informational_heuristic,5
c3,1win argentina,codigos para 1win argentina,30,,informational_heuristic,3
c3,1win argentina,1win argentina app,20,,transactional_heuristic,5
c3,1win argentina,1win argentina porno,20,,informational_heuristic,5
c3,1win argentina,1win argentina xxx,20,,informational_heuristic,5
c3,1win argentina,1win bloqueado argentina,20,,informational_heuristic,5
c3,1win argentina,codigo 1win argentina,20,,informational_heuristic,5
c3,1win argentina,codigos 1win argentina,20,,informational_heuristic,5
c3,1win argentina,top 10 juegos 1win argentina,20,,commercial_heuristic,3
c4,1win app,1win app,2000,64,transactional_heuristic,10
c4,1win app,1win app download,150,63,transactional_heuristic,5
c4,1win app,1win app android,100,,transactional_heuristic,5
c4,1win app,1win app ios,100,,transactional_heuristic,5
c4,1win app,app 1win,100,,transactional_heuristic,10
c4,1win app,1win app apk,60,,transactional_heuristic,5
c4,1win app,1win app store,60,,transactional_heuristic,5
c4,1win app,1win chile app,60,,transactional_heuristic,5
c4,1win app,1win android app,50,,transactional_heuristic,5
c4,1win app,1win app iphone,50,,transactional_heuristic,5
c4,1win app,1win affiliate app download,40,,transactional_heuristic,3
c4,1win app,1win app login,40,,transactional_heuristic,5
c4,1win app,1win bet app,40,,transactional_heuristic,5
c4,1win app,1win partner app,40,,transactional_heuristic,5
c4,1win app,1win partners app download,40,,transactional_heuristic,3
c4,1win app,balloon app 1win,40,,transactional_heuristic,5
c4,1win app,1win app chile,30,,transactional_heuristic,5
c4,1win app,1win app colombia,30,,transactional_heuristic,5
c4,1win app,1win app for pc,30,,transactional_heuristic,5
c4,1win app,1win app play store,30,,transactional_heuristic,3
c4,1win app,1win colombia app,30,,transactional_heuristic,5
c4,1win app,1win app aviator,20,,transactional_heuristic,5
c4,1win app,1win aviator app download,20,,transactional_heuristic,3
c4,1win app,1win official app,20,,transactional_heuristic,5
c4,1win app,app 1win dinheiro real,20,,transactional_heuristic,3
c4,1win app,aviator app 1win,20,,transactional_heuristic,5
c5,1win login,1win login,1800,82,informational_heuristic,10
c5,1win login,1win aviator login,80,,informational_heuristic,5
c5,1win login,1win affiliate login,40,,informational_heuristic,5
c5,1win login,1win bet login,40,,informational_heuristic,5
c5,1win login,1win partner login,40,,informational_heuristic,5
c5,1win login,1win partners login,40,,informational_heuristic,5
c5,1win login,1win login colombia,30,,informational_heuristic,5
c5,1win login,1win login site oficial,30,,commercial_heuristic,3
c6,1win bet,1win bet,1400,76,informational_heuristic,10
c6,1win bet,www.1win bet.com,50,,informational_heuristic,3
c6,1win bet,1win bet apk,40,,informational_heuristic,5
c6,1win bet,1win bet aviator,30,,informational_heuristic,5
c6,1win bet,1win betting,20,,informational_heuristic,10
c7,1win apk,1win apk,800,68,informational_heuristic,10
c7,1win apk,1win apk android,150,,informational_heuristic,5
c7,1win apk,1win apk download,150,,transactional_heuristic,5
c7,1win apk,apk 1win,100,,informational_heuristic,10
c7,1win apk,1win aviator apk,90,,informational_heuristic,5
c7,1win apk,1win games apk,50,,informational_heuristic,5
c7,1win apk,1win partner apk,40,,informational_heuristic,5
c7,1win apk,1win partners apk,40,,informational_heuristic,5
c7,1win apk,1win partners apk download,40,,transactional_heuristic,3
c7,1win apk,aviator 1win apk,30,,informational_heuristic,5
c7,1win apk,baixar 1win apk,30,,informational_heuristic,5
c7,1win apk,balloon 1win apk,30,,informational_heuristic,5
c7,1win apk,1win aviator apk download,20,,transactional_heuristic,3
c7,1win apk,1win balloon apk,20,,informational_heuristic,5
c7,1win apk,aviator game 1win apk,20,,informational_heuristic,3
c9,1win online,1win online,450,77,informational_heuristic,10
c9,1win online,1win aviator online,30,,informational_heuristic,5
c10,bonus code 1win,bonus code 1win,450,46,transactional_heuristic,10
c10,bonus code 1win,1win bonus code,150,70,transactional_heuristic,10
c10,bonus code 1win,1win promo code,150,,informational_heuristic,3
c10,bonus code 1win,bonus code 1win argentina,150,33,transactional_heuristic,7
c10,bonus code 1win,1win bonus,100,,transactional_heuristic,5
c10,bonus code 1win,bonus code 1win hoy,100,52,transactional_heuristic,7
c10,bonus code 1win,codigo bonus 1win,70,50,transactional_heuristic,3
c10,bonus code 1win,bonus code 1win giros gratis,60,,transactional_heuristic,5
c10,bonus code 1win,bonus code 1win gratis,60,43,transactional_heuristic,7
c10,bonus code 1win,como activar el bonus code 1win,60,,transactional_heuristic,4
c10,bonus code 1win,bonus 1win,50,,transactional_heuristic,5
c10,bonus code 1win,1win bonus code argentina,40,,transactional_heuristic,7
c10,bonus code 1win,1win bonus code no deposit,40,,transactional_heuristic,5
c10,bonus code 1win,bonus code 1win hoy argentina,40,,transactional_heuristic,5
c10,bonus code 1win,code bonus 1win,40,,transactional_heuristic,10
c10,bonus code 1win,code bonus 1win lucky jet,40,,transactional_heuristic,5
c10,bonus code 1win,bonus code 1win 2024,30,59,transactional_heuristic,7
c10,bonus code 1win,bonus code 1win 2026 argentina,30,,transactional_heuristic,5
c10,bonus code 1win,bonus code 1win giros gratis 2026,30,,transactional_heuristic,4
c10,bonus code 1win,1win codigo bonus,20,,transactional_heuristic,3
c10,bonus code 1win,1win como usar bonus,20,,transactional_heuristic,3
c10,bonus code 1win,bonus 1win codigo,20,,transactional_heuristic,3
c10,bonus code 1win,bonus code 1win 2025,20,,transactional_heuristic,7
c10,bonus code 1win,bonus code 1win 2025 argentina,20,,transactional_heuristic,5
c10,bonus code 1win,bonus code 1win 2026,20,,transactional_heuristic,7
c10,bonus code 1win,bonus code 1win telegram,20,,transactional_heuristic,7
c10,bonus code 1win,bonus code 1win ya registrado,20,,transactional_heuristic,5
c10,bonus code 1win,codigo 1win bonus,20,,transactional_heuristic,3
c10,bonus code 1win,como activar bonus code en 1win,20,,transactional_heuristic,4
c12,1win aviator,1win aviator,300,52,informational_heuristic,10
c12,1win aviator,aviator 1win,150,57,informational_heuristic,10
c12,1win aviator,aviator game 1win,150,48,informational_heuristic,5
c12,1win aviator,1win aviator demo,30,,transactional_heuristic,5
c12,1win aviator,aviator predictor 1win,30,,informational_heuristic,5
c12,1win aviator,1win aviator download,20,,transactional_heuristic,5
c12,1win aviator,1win aviator game,20,,informational_heuristic,5
c12,1win aviator,1win aviator prediction,20,,informational_heuristic,5
c12,1win aviator,1win aviator predictor,20,,informational_heuristic,5
c12,1win aviator,1win aviator review,20,,informational_heuristic,5
c12,1win aviator,1win aviator strategy,20,,informational_heuristic,5
c12,1win aviator,aviator 1win bot,20,,informational_heuristic,5
c12,1win aviator,aviator 1win game,20,,informational_heuristic,5
c12,1win aviator,aviator game 1win download,20,,transactional_heuristic,3
c12,1win aviator,bot 1win aviator,20,,informational_heuristic,5
c12,1win aviator,bot aviator 1win,20,43,informational_heuristic,5
c12,1win aviator,bot para aviator 1win,20,,informational_heuristic,3
c12,1win aviator,como ganar en aviator 1win,20,,informational_heuristic,3
c12,1win aviator,estrategia aviator 1win,20,,informational_heuristic,5
c12,1win aviator,jogo aviator 1win,20,,informational_heuristic,5
c12,1win aviator,robot aviator 1win,20,,informational_heuristic,5
c15,1win balloon,1win balloon,200,,informational_heuristic,10
c15,1win balloon,balloon 1win,200,,informational_heuristic,10
c15,1win balloon,balloon by 1win,40,,informational_heuristic,10
c15,1win balloon,balloon de 1win,20,,informational_heuristic,5
c16,1win download,1win download,200,,transactional_heuristic,10
c16,1win download,1win download iphone,50,,transactional_heuristic,5
c18,1win token,1win token,200,,informational_heuristic,10
c18,1win token,1win token precio,40,,informational_heuristic,5
c18,1win token,1win token cuando sale,20,,informational_heuristic,3
c18,1win token,1win token telegram,20,,informational_heuristic,5
c18,1win token,1win token web2,20,,informational_heuristic,5
c18,1win token,airdrop 1win token,20,,informational_heuristic,5
c18,1win token,como cambiar 1win token,20,,informational_heuristic,3
c18,1win token,como vender 1win token,20,,informational_heuristic,3
c20,1win games,1win games,150,71,informational_heuristic,10
c20,1win games,1win game,60,,informational_heuristic,10
c22,1win ios,1win ios,150,,informational_heuristic,10
c22,1win ios,1win for ios,60,,informational_heuristic,10
c22,1win ios,baixar 1win para ios,30,,informational_heuristic,3
c22,1win ios,ios 1win,30,,informational_heuristic,10
c23,1win iphone,1win iphone,150,,informational_heuristic,10
c23,1win iphone,1win for iphone,30,,informational_heuristic,10
c24,1win lucky jet,1win lucky jet,150,52,informational_heuristic,10
c24,1win lucky jet,lucky jet 1win,80,44,informational_heuristic,10
c24,1win lucky jet,1win jet x,50,,informational_heuristic,5
c24,1win lucky jet,lucky jet predictor 1win,40,,informational_heuristic,7
c24,1win lucky jet,1win app lucky jet,20,,transactional_heuristic,7
c24,1win lucky jet,1win jet,20,,informational_heuristic,5
c25,1win mines,1win mines,150,36,informational_heuristic,10
c25,1win mines,mines 1win,100,40,informational_heuristic,10
c25,1win mines,juego mines 1win,30,,informational_heuristic,5
c25,1win mines,mines pro 1win,30,44,informational_heuristic,5
c25,1win mines,1win mines demo,20,,transactional_heuristic,5
c26,penalty shoot out 1win,penalty shoot out 1win,150,15,informational_heuristic,10
c26,penalty shoot out 1win,1win penalty shoot out,50,,informational_heuristic,10
c26,penalty shoot out 1win,penalty shoot out 1win argentina,50,,informational_heuristic,7
c26,penalty shoot out 1win,penalty shoot out 1win hack,20,,informational_heuristic,7
c27,plinko 1win,plinko 1win,150,,informational_heuristic,10
c27,plinko 1win,1win plinko,100,,informational_heuristic,10
c28,1win android,1win android,100,,informational_heuristic,10
c28,1win android,baixar 1win para android,30,,informational_heuristic,3
c31,1win partner,1win partner,100,,informational_heuristic,10
c31,1win partner,1win partners,50,53,informational_heuristic,10
c31,1win partner,1win partner program,40,,informational_heuristic,5
c31,1win partner,1win partners affiliate,40,,informational_heuristic,5
c31,1win partner,1win-partner,40,,informational_heuristic,10
c31,1win partner,partner 1win,40,,informational_heuristic,10
c31,1win partner,partners 1win,40,,informational_heuristic,10
c33,1win affiliate,1win affiliate,90,,informational_heuristic,10
c33,1win affiliate,1win affiliate commission,40,,informational_heuristic,5
c33,1win affiliate,1win affiliate program,40,,informational_heuristic,5
c33,1win affiliate,1win affiliate program review,40,,informational_heuristic,3
c33,1win affiliate,1win affiliates,40,,informational_heuristic,10
c33,1win affiliate,affiliate 1win,40,,informational_heuristic,10
c33,1win affiliate,1win affiliation,30,,informational_heuristic,10
c35,1win official,1win official,90,,informational_heuristic,10
c35,1win official,1win official site,60,,commercial_heuristic,5
c35,1win official,1win official website,30,,informational_heuristic,5
c41,codigo de 1win,codigo de 1win,80,,informational_heuristic,10
c41,codigo de 1win,codigo de bonus 1win,70,,transactional_heuristic,7
c41,codigo de 1win,codigo para 1win,60,,informational_heuristic,3
c41,codigo de 1win,1win codigo de bonus,50,,transactional_heuristic,7
c41,codigo de 1win,codigos 1win,50,,informational_heuristic,5
c41,codigo de 1win,codigos para 1win,40,,informational_heuristic,3
c41,codigo de 1win,1win codigo,30,,informational_heuristic,5
c41,codigo de 1win,codigos promocionales 1win,30,,informational_heuristic,3
c41,codigo de 1win,codigo de bonus para 1win,20,,transactional_heuristic,5
c41,codigo de 1win,cuenta de bonificacion 1win,20,,informational_heuristic,3
c41,codigo de 1win,mejores juegos de 1win,20,,informational_heuristic,3
c42,mystake 1win,mystake 1win,80,,informational_heuristic,10
c42,mystake 1win,mystake.1win,60,,informational_heuristic,10
c44,1win como retirar dinero,1win como retirar dinero,70,,informational_heuristic,10
c44,1win como retirar dinero,1win retirar dinero,60,,informational_heuristic,7
c44,1win como retirar dinero,como retirar dinero de 1win argentina,60,30,informational_heuristic,6
c44,1win como retirar dinero,como retirar en 1win,60,,informational_heuristic,5
c44,1win como retirar dinero,como retirar de 1win a astropay,50,,informational_heuristic,4
c44,1win como retirar dinero,retirar dinero de 1win,50,,informational_heuristic,5
c44,1win como retirar dinero,1win retirar dinero argentina,40,,informational_heuristic,5
c44,1win como retirar dinero,dinero gratis 1win,40,,informational_heuristic,3
c44,1win como retirar dinero,1win como funciona,30,,informational_heuristic,3
c44,1win como retirar dinero,1win token como retirar dinero,30,,informational_heuristic,8
c44,1win como retirar dinero,como retirar dinero de 1win a mercado pago,30,,informational_heuristic,5
c44,1win como retirar dinero,como retirar dinero en 1win,30,,informational_heuristic,8
c44,1win como retirar dinero,como retirar el dinero de 1win,30,,informational_heuristic,6
c44,1win como retirar dinero,como retirar de 1win argentina,20,,informational_heuristic,4
c44,1win como retirar dinero,como retirar plata de 1win argentina,20,22,informational_heuristic,3
c44,1win como retirar dinero,retirar dinero de 1win argentina,20,,informational_heuristic,4
c46,1win jetx,1win jetx,70,,informational_heuristic,10
c46,1win jetx,jetx 1win,20,,informational_heuristic,10
c50,cuanto tarda 1win en depositar,cuanto tarda 1win en depositar,70,,informational_heuristic,10
c50,cuanto tarda 1win en depositar,como depositar en 1win,30,,informational_heuristic,4
c50,cuanto tarda 1win en depositar,como depositar en 1win con mercado pago,20,,informational_heuristic,3
c50,cuanto tarda 1win en depositar,cuanto tarda 1win en retirar dinero,20,,informational_heuristic,5
c51,registrarse en 1win,registrarse en 1win,70,,informational_heuristic,10
c51,registrarse en 1win,crear cuenta en 1win,60,,informational_heuristic,3
c51,registrarse en 1win,1win registrarse,20,,informational_heuristic,5
c51,registrarse en 1win,como registrarse en 1win,20,,informational_heuristic,7
c56,juego 1win,juego 1win,60,,informational_heuristic,10
c56,juego 1win,juegos 1win,50,,informational_heuristic,10
c56,juego 1win,1win juego,20,,informational_heuristic,10
c56,juego 1win,1win juegos para ganar dinero,20,,informational_heuristic,3
c58,1win for pc,1win for pc,50,,informational_heuristic,10
c58,1win for pc,1win pc,30,,informational_heuristic,10
c63,afiliado 1win,afiliado 1win,50,,informational_heuristic,10
c63,afiliado 1win,1win afiliado,40,,informational_heuristic,10
c65,trucos para ganar en 1win,trucos para ganar en 1win,50,,informational_heuristic,10
c65,trucos para ganar en 1win,como ganar en 1win,20,,informational_heuristic,4
c65,trucos para ganar en 1win,trucos para ganar en mines 1win,20,,informational_heuristic,8
c88,1win chicken cross,1win chicken cross,20,,informational_heuristic,10
c88,1win chicken cross,chicken cross 1win,20,,informational_heuristic,10
c102,1win soporte,1win soporte,20,,informational_heuristic,10
c102,1win soporte,soporte 1win,20,,informational_heuristic,10
c103,1win sport,1win sport,20,,informational_heuristic,10
c103,1win sport,bonus sport 1win,20,,transactional_heuristic,5
c115,www 1win,www 1win,20,,informational_heuristic,10
c115,www 1win,www.1win,20,,informational_heuristic,10
